cpf,nome,ra_matricula,email
12345678901,andre,1461152313066,user1@example.com
23456789012,joao,1461282121099,user2@example.com
46747467477,zeca,432423434474,user3@example.com
56389012354,marcelo,1460742411088,user4@example.com
34567890123,dionisio,1460482222078,user5@example.com
56789012344,pedro,1460742411078,user6@example.com
46747467467,ze,432423434434,user7@example.com
34232434242,wagner,443435345,user51@example.com
43423234234,otaviano,523442355,user99@example.com
443243543544,luzia,43211234123,user101@gmail.com










